NTD,Agency,Mode,TOS,Organization,UZA_ID,UZA_Name,UZA_Area,UZA_Pop,SA_Area,SA_Pop,Passenger_Miles,Unlinked_Trips,Avg_Trip_Length, Fares , Operating_Expenses , Average_Cost , Average_Fare 
50006,"City of Racine, Wisconsin",DR,DO,"City, County or Local Government Unit or Department of Transportation",239,"Racine, WI",49,133700,27,112100,163313,38694,4.22,112476,901012,23.29,2.91
50006,"City of Racine, Wisconsin",MB,DO,"City, County or Local Government Unit or Department of Transportation",239,"Racine, WI",49,133700,27,112100,2956649,952741,3.10,928133,7022749,7.37,0.97
50008,Milwaukee County,DR,PT,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,247,948201,3023595,451109,6.70,1749673,14777648,32.76,3.88
50008,Milwaukee County,MB,PT,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,247,948201,91779458,28972674,3.17,31778426,131291412,4.53,1.10
50009,"City of Oshkosh, Wisconsin",DR,TX,"City, County or Local Government Unit or Department of Transportation",376,"Oshkosh, WI",31,74495,25,66083,293873,67435,4.36,475303,893462,13.25,7.05
50009,"City of Oshkosh, Wisconsin",MB,DO,"City, County or Local Government Unit or Department of Transportation",376,"Oshkosh, WI",31,74495,25,66083,1475468,742428,1.99,583363,3401833,4.58,0.79
50009,"City of Oshkosh, Wisconsin",MB,PT,"City, County or Local Government Unit or Department of Transportation",376,"Oshkosh, WI",31,74495,25,66083,81776,9056,9.03,11691,149876,16.55,1.29
50010,METRO Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,71,"Akron, OH",325,569499,420,541013,1232328,209585,5.88,569485,11194320,53.41,2.72
50010,METRO Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,71,"Akron, OH",325,569499,420,541013,495502,66876,7.41,68336,1951805,29.19,1.02
50010,METRO Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,71,"Akron, OH",325,569499,420,541013,23887360,5141660,4.65,3678496,37745094,7.34,0.72
50011,Stark Area Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,135,"Canton, OH",166,279245,581,375586,1353178,158983,8.51,502202,7721495,48.57,3.16
50011,Stark Area Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,135,"Canton, OH",166,279245,581,375586,14799713,2171556,6.82,1501197,15470692,7.12,0.69
50012,Southwest Ohio Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,289,744901,2562516,226685,11.30,935203,8483528,37.42,4.13
50012,Southwest Ohio Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,289,744901,71291464,13244916,5.38,27066261,95082983,7.18,2.04
50012,Southwest Ohio Regional Transit Authority,SR,PT,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,289,744901,844189,531592,1.59,364167,3500384,6.58,0.69
50015,The Greater Cleveland Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,2042300,258819,7.89,1478892,31106681,120.19,5.71
50015,The Greater Cleveland Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,2551969,317629,8.03,358012,18389457,57.90,1.13
50015,The Greater Cleveland Regional Transit Authority,HR,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,36529680,5666706,6.45,7377403,45434279,8.02,1.30
50015,The Greater Cleveland Regional Transit Authority,LR,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,8974467,1484863,6.04,2549863,14906274,10.04,1.72
50015,The Greater Cleveland Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,91902658,21787742,4.22,29778147,184357681,8.46,1.37
50015,The Greater Cleveland Regional Transit Authority,RB,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,6889599,2628480,2.62,3587056,6331207,2.41,1.36
50015,The Greater Cleveland Regional Transit Authority,VP,PT,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,458,1412140,887524,27586,32.17,131117,137261,4.98,4.75
50016,Central Ohio Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,36,"Columbus, OH",510,1368035,324,1060666,3017345,288690,10.45,822880,11139754,38.59,2.85
50016,Central Ohio Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,36,"Columbus, OH",510,1368035,324,1060666,74351660,19141454,3.88,18208917,158164925,8.26,0.95
50017,Greater Dayton Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,59,"Dayton, OH",351,724091,274,559062,1945931,222955,8.73,870163,15715287,70.49,3.90
50017,Greater Dayton Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,59,"Dayton, OH",351,724091,274,559062,45746274,7146375,6.40,7336611,49120935,6.87,1.03
50017,Greater Dayton Regional Transit Authority,TB,DO,Independent Public Agency or Authority of Transit Service,59,"Dayton, OH",351,724091,274,559062,8439011,2047285,4.12,1132575,11749604,5.74,0.55
50021,Portage Area Regional Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,71,"Akron, OH",325,569499,492,161494,647862,75344,8.60,465605,3341790,44.35,6.18
50021,Portage Area Regional Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,71,"Akron, OH",325,569499,492,161494,2842727,1080782,2.63,2379031,5787602,5.36,2.20
50022,Toledo Area Regional Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,80,"Toledo, OH-MI",240,507643,142,374213,2145105,230672,9.30,698982,6417450,27.82,3.03
50022,Toledo Area Regional Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,80,"Toledo, OH-MI",240,507643,142,374213,227125,40379,5.62,117692,844896,20.92,2.91
50022,Toledo Area Regional Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,80,"Toledo, OH-MI",240,507643,142,374213,8837093,1736208,5.09,5165814,19946413,11.49,2.98
50024,Western Reserve Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,97,"Youngstown, OH-PA",241,387550,216,238823,333887,41580,8.03,83969,1860312,44.74,2.02
50024,Western Reserve Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,97,"Youngstown, OH-PA",241,387550,216,238823,6049251,1468265,4.12,928257,10124802,6.90,0.63
50025,Duluth Transit Authority,DR,PT,Independent Public Agency or Authority of Transit Service,260,"Duluth, MN-WI",70,120378,69,102334,170078,37876,4.49,98818,1105701,29.19,2.61
50025,Duluth Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,260,"Duluth, MN-WI",70,120378,69,102334,10734898,2645307,4.06,2454171,17293250,6.54,0.93
50026,City of Moorhead,DR,PT,"City, County or Local Government Unit or Department of Transportation",194,"Fargo, ND-MN",70,176676,26,48036,42548,10172,4.18,55271,275623,27.10,5.43
50026,City of Moorhead,MB,PT,"City, County or Local Government Unit or Department of Transportation",194,"Fargo, ND-MN",70,176676,26,48036,1869562,482667,3.87,368115,2478901,5.14,0.76
50027,Metro Transit,CR,PT,"Subsidiary Unit of a Transit Agency, Reporting Separately",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,653,1837223,18965595,767768,24.70,2604994,17484857,22.77,3.39
50027,Metro Transit,LR,DO,"Subsidiary Unit of a Transit Agency, Reporting Separately",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,653,1837223,100499405,25299442,3.97,27240856,76787096,3.04,1.08
50027,Metro Transit,MB,DO,"Subsidiary Unit of a Transit Agency, Reporting Separately",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,653,1837223,218756652,51860027,4.22,69000565,331747510,6.40,1.33
50028,St. Cloud Metropolitan Transit Commission,CB,DO,Independent Public Agency or Authority of Transit Service,281,"St. Cloud, MN",50,110621,29,103018,1293261,47147,27.43,81974,970085,20.58,1.74
50028,St. Cloud Metropolitan Transit Commission,DR,DO,Independent Public Agency or Authority of Transit Service,281,"St. Cloud, MN",50,110621,29,103018,652597,152239,4.29,391209,4385227,28.80,2.57
50028,St. Cloud Metropolitan Transit Commission,MB,DO,Independent Public Agency or Authority of Transit Service,281,"St. Cloud, MN",50,110621,29,103018,4547186,1481377,3.07,986338,8753854,5.91,0.67
50029,Bay Metropolitan Transit Authority,DR,DO,Independent Public Agency or Authority of Transit Service,390,"Bay City, MI",40,70585,442,104239,600339,67549,8.89,142231,3422080,50.66,2.11
50029,Bay Metropolitan Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,390,"Bay City, MI",40,70585,442,104239,2960513,442368,6.69,411760,5071432,11.46,0.93
50031,Suburban Mobility Authority for Regional Transportation,DR,DO,Independent Public Agency or Authority of Transit Service,11,"Detroit, MI",1337,3734090,1074,3424477,2435777,312680,7.79,525020,18127691,57.98,1.68
50031,Suburban Mobility Authority for Regional Transportation,DR,PT,Independent Public Agency or Authority of Transit Service,11,"Detroit, MI",1337,3734090,1074,3424477,502161,109452,4.59,424557,2134390,19.50,3.88
50031,Suburban Mobility Authority for Regional Transportation,MB,DO,Independent Public Agency or Authority of Transit Service,11,"Detroit, MI",1337,3734090,1074,3424477,83200340,8616017,9.66,11599271,87783424,10.19,1.35
50032,Mass Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,106,"Flint, MI",236,356218,640,407385,5348783,579190,9.23,1083423,19571357,33.79,1.87
50032,Mass Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,106,"Flint, MI",236,356218,640,407385,114174,3713,30.75,7856,131189,35.33,2.12
50032,Mass Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,106,"Flint, MI",236,356218,640,407385,27339347,4201682,6.51,4946148,19285672,4.59,1.18
50033,Interurban Transit Partnership,DR,PT,Independent Public Agency or Authority of Transit Service,70,"Grand Rapids, MI",281,569935,155,417978,4749404,347364,13.67,1201793,8285667,23.85,3.46
50033,Interurban Transit Partnership,MB,DO,Independent Public Agency or Authority of Transit Service,70,"Grand Rapids, MI",281,569935,155,417978,31339489,9242401,3.39,7185968,36609821,3.96,0.78
50033,Interurban Transit Partnership,RB,DO,Independent Public Agency or Authority of Transit Service,70,"Grand Rapids, MI",281,569935,155,417978,2501045,850726,2.94,893262,2343897,2.76,1.05
50033,Interurban Transit Partnership,VP,DO,Independent Public Agency or Authority of Transit Service,70,"Grand Rapids, MI",281,569935,155,417978,1390576,31604,44.00,115696,315631,9.99,3.66
50034,City of Jackson Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,324,"Jackson, MI",58,90057,702,158823,117883,30836,3.82,87602,1532949,49.71,2.84
50034,City of Jackson Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,324,"Jackson, MI",58,90057,702,158823,1374671,486001,2.83,433831,2721005,5.60,0.89
50035,Central County Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,173,"Kalamazoo, MI",132,209703,580,259830,1812193,166188,10.90,608733,5019771,30.21,3.66
50035,Central County Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,173,"Kalamazoo, MI",132,209703,580,259830,11538098,2599958,4.44,2666442,11231612,4.32,1.03
50036,Capital Area Transportation Authority,DR,DO,Independent Public Agency or Authority of Transit Service,118,"Lansing, MI",158,313532,136,292735,856126,142077,6.03,734170,6987728,49.18,5.17
50036,Capital Area Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,118,"Lansing, MI",158,313532,136,292735,2989311,351727,8.50,192495,12184175,34.64,0.55
50036,Capital Area Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,118,"Lansing, MI",158,313532,136,292735,29940174,10555526,2.84,7843741,35672455,3.38,0.74
50039,Saginaw Transit Authority Regional Service,DR,DO,Independent Public Agency or Authority of Transit Service,253,"Saginaw, MI",71,126265,63,200169,165859,34226,4.85,183032,1657622,48.43,5.35
50039,Saginaw Transit Authority Regional Service,MB,DO,Independent Public Agency or Authority of Transit Service,253,"Saginaw, MI",71,126265,63,200169,3656713,559991,6.53,975269,6055643,10.81,1.74
50040,Ann Arbor Area Transportation Authority,CB,DO,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,493896,29070,16.99,103419,310557,10.68,3.56
50040,Ann Arbor Area Transportation Authority,CB,PT,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,2474873,93321,26.52,1061243,1216856,13.04,11.37
50040,Ann Arbor Area Transportation Authority,DR,PT,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,1660920,184393,9.01,712165,6406317,34.74,3.86
50040,Ann Arbor Area Transportation Authority,DR,TX,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,263673,26448,9.97,111974,583767,22.07,4.23
50040,Ann Arbor Area Transportation Authority,MB,DO,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,22796015,6383790,3.57,4644679,32344331,5.07,0.73
50040,Ann Arbor Area Transportation Authority,VP,PT,Independent Public Agency or Authority of Transit Service,125,"Ann Arbor, MI",160,306022,130,258829,8396937,246575,34.05,919805,980716,3.98,3.73
50043,Metropolitan Evansville Transit System,DR,DO,"City, County or Local Government Unit or Department of Transportation",159,"Evansville, IN-KY",119,229351,45,118930,397557,63658,6.25,331609,1968441,30.92,5.21
50043,Metropolitan Evansville Transit System,MB,DO,"City, County or Local Government Unit or Department of Transportation",159,"Evansville, IN-KY",119,229351,45,118930,4422983,1209953,3.66,1381590,6549351,5.41,1.14
50044,Fort Wayne Public Transportation Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,119,"Fort Wayne, IN",172,313492,111,268485,644334,75804,8.50,180717,2781044,36.69,2.38
50044,Fort Wayne Public Transportation Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,119,"Fort Wayne, IN",172,313492,111,268485,4851018,1600996,3.03,1498394,11305010,7.06,0.94
50045,Gary Public Transportation Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,38,102746,81314,15286,5.32,52922,555554,36.34,3.46
50045,Gary Public Transportation Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,38,102746,976511,778430,1.25,703112,5744780,7.38,0.90
50047,Bloomington-Normal Public Transit System,DR,DO,Independent Public Agency or Authority of Transit Service,243,"Bloomington-Normal, IL",49,132600,46,129107,506747,90515,5.60,135649,2974961,32.87,1.50
50047,Bloomington-Normal Public Transit System,MB,DO,Independent Public Agency or Authority of Transit Service,243,"Bloomington-Normal, IL",49,132600,46,129107,6463762,2442954,2.65,1216019,9274585,3.80,0.50
50050,Indianapolis and Marion County Public Transportation,DR,PT,Independent Public Agency or Authority of Transit Service,33,"Indianapolis, IN",706,1487483,396,928281,3565096,282281,12.63,1067824,12184337,43.16,3.78
50050,Indianapolis and Marion County Public Transportation,MB,DO,Independent Public Agency or Authority of Transit Service,33,"Indianapolis, IN",706,1487483,396,928281,38897405,8531019,4.56,7990993,78434865,9.19,0.94
50050,Indianapolis and Marion County Public Transportation,RB,DO,Independent Public Agency or Authority of Transit Service,33,"Indianapolis, IN",706,1487483,396,928281,2550235,704665,3.62,165999,4398506,6.24,0.24
50051,Greater Lafayette Public Transportation Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,223,"Lafayette, IN",64,147725,74,134333,195029,31466,6.20,133431,752604,23.92,4.24
50051,Greater Lafayette Public Transportation Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,223,"Lafayette, IN",64,147725,74,134333,13410815,5068309,2.65,3371220,11073821,2.18,0.67
50052,South Bend Public Transportation Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,136,"South Bend, IN-MI",161,278165,68,154346,664199,86081,7.72,158740,2005782,23.30,1.84
50052,South Bend Public Transportation Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,136,"South Bend, IN-MI",161,278165,68,154346,4941184,1510091,3.27,1138507,9242961,6.12,0.75
50053,City of Terre Haute ,DR,DO,"City, County or Local Government Unit or Department of Transportation",316,"Terre Haute, IN",53,92742,18,59614,60236,17095,3.52,28464,408538,23.90,1.67
50053,City of Terre Haute ,MB,DO,"City, County or Local Government Unit or Department of Transportation",316,"Terre Haute, IN",53,92742,18,59614,420893,220772,1.91,94673,2325777,10.53,0.43
50054,Muncie Indiana Transit System,DR,DO,Independent Public Agency or Authority of Transit Service,322,"Muncie, IN",47,90580,27,70085,249265,55889,4.46,53764,1852540,33.15,0.96
50054,Muncie Indiana Transit System,MB,DO,Independent Public Agency or Authority of Transit Service,322,"Muncie, IN",47,90580,27,70085,4773764,1352341,3.53,174325,5266594,3.89,0.13
50056,Greater Peoria Mass Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,139,"Peoria, IL",144,266921,105,209896,1262880,168988,7.47,314012,4316758,25.54,1.86
50056,Greater Peoria Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,139,"Peoria, IL",144,266921,105,209896,15746137,2581334,6.10,1520291,24168505,9.36,0.59
50057,Rock Island County Metropolitan Mass Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,134,"Davenport, IA-IL",138,280051,46,120378,520552,45310,11.49,47288,760939,16.79,1.04
50057,Rock Island County Metropolitan Mass Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,134,"Davenport, IA-IL",138,280051,46,120378,96209,20001,4.81,38496,670868,33.54,1.92
50057,Rock Island County Metropolitan Mass Transit District,FB,PT,Independent Public Agency or Authority of Transit Service,134,"Davenport, IA-IL",138,280051,46,120378,191306,31314,6.11,154805,448764,14.33,4.94
50057,Rock Island County Metropolitan Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,134,"Davenport, IA-IL",138,280051,46,120378,14910847,3127655,4.77,949617,16826214,5.38,0.30
50058,Rockford Mass Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,127,"Rockford, IL",153,296863,156,265624,1055674,131278,8.04,266283,4082152,31.10,2.03
50058,Rockford Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,127,"Rockford, IL",153,296863,156,265624,6623947,1519254,4.36,981020,12421287,8.18,0.65
50059,Springfield Mass Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,206,"Springfield, IL",92,161316,65,123682,538263,86085,6.25,241038,1771417,20.58,2.80
50059,Springfield Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,206,"Springfield, IL",92,161316,65,123682,5467436,1487090,3.68,757150,13051755,8.78,0.51
50060,Champaign-Urbana Mass Transit District,DR,DO,Independent Public Agency or Authority of Transit Service,224,"Champaign, IL",47,145361,41,137693,164896,50427,3.27,41623,1091303,21.64,0.83
50060,Champaign-Urbana Mass Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,224,"Champaign, IL",47,145361,41,137693,439994,80585,5.46,316377,714176,8.86,3.93
50060,Champaign-Urbana Mass Transit District,MB,DO,Independent Public Agency or Authority of Transit Service,224,"Champaign, IL",47,145361,41,137693,21141278,11489825,1.84,7019753,35285762,3.07,0.61
50061,"City of Decatur, Il",DR,DO,"City, County or Local Government Unit or Department of Transportation",313,"Decatur, IL",59,93863,53,82155,77319,19385,3.99,36998,1213042,62.58,1.91
50061,"City of Decatur, Il",DR,TX,"City, County or Local Government Unit or Department of Transportation",313,"Decatur, IL",59,93863,53,82155,1458,378,3.86,432,7448,19.70,1.14
50061,"City of Decatur, Il",MB,DO,"City, County or Local Government Unit or Department of Transportation",313,"Decatur, IL",59,93863,53,82155,3191183,1100408,2.90,474365,6496526,5.90,0.43
50066,Chicago Transit Authority,HR,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,310,3240768,1378128437,218467141,6.31,309516440,623416178,2.85,1.42
50066,Chicago Transit Authority,MB,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,310,3240768,581741988,237276400,2.45,279224950,824288048,3.47,1.18
50092,"City of Rochester, Minnesota",DR,PT,"City, County or Local Government Unit or Department of Transportation",288,"Rochester, MN",51,107677,28,104230,132048,23244,5.68,77923,638716,27.48,3.35
50092,"City of Rochester, Minnesota",DR,TX,"City, County or Local Government Unit or Department of Transportation",288,"Rochester, MN",51,107677,28,104230,72569,15376,4.72,46128,407672,26.51,3.00
50092,"City of Rochester, Minnesota",MB,PT,"City, County or Local Government Unit or Department of Transportation",288,"Rochester, MN",51,107677,28,104230,7753459,2116610,3.66,3356882,10175604,4.81,1.59
50096,City of Waukesha ,CB,PT,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,43,141642,2051478,95862,21.40,311233,2038862,21.27,3.25
50096,City of Waukesha ,DR,DO,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,43,141642,57866,11063,5.23,34464,490612,44.35,3.12
50096,City of Waukesha ,DR,PT,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,43,141642,30890,3649,8.47,26912,185360,50.80,7.38
50096,City of Waukesha ,MB,DO,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,43,141642,1781902,577696,3.08,517722,4415512,7.64,0.90
50096,City of Waukesha ,MB,PT,"City, County or Local Government Unit or Department of Transportation",35,"Milwaukee, WI",546,1376476,43,141642,1097557,232011,4.73,302951,1162430,5.01,1.31
50099,City of Eau Claire,DR,PT,"City, County or Local Government Unit or Department of Transportation",297,"Eau Claire, WI",69,102852,28,76267,467131,49920,9.36,296628,1001442,20.06,5.94
50099,City of Eau Claire,MB,DO,"City, County or Local Government Unit or Department of Transportation",297,"Eau Claire, WI",69,102852,28,76267,2211451,863647,2.56,841543,4162698,4.82,0.97
50104,Northern Indiana Commuter Transportation District,CR,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,1970,958644,108385897,3283603,33.01,22509224,51937100,15.82,6.86
50110,Bloomington Public Transportation Corporation,DR,DO,Independent Public Agency or Authority of Transit Service,286,"Bloomington, IN",45,108657,21,80405,187698,38566,4.87,70969,796647,20.66,1.84
50110,Bloomington Public Transportation Corporation,MB,DO,Independent Public Agency or Authority of Transit Service,286,"Bloomington, IN",45,108657,21,80405,6634049,3159071,2.10,1705410,7056602,2.23,0.54
50113,Pace - Suburban Bus Division,DR,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,288168,47435,6.08,74473,911349,19.21,1.57
50113,Pace - Suburban Bus Division,DR,PT,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,5780542,837431,6.90,1370927,20836137,24.88,1.64
50113,Pace - Suburban Bus Division,DR,TX,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,608527,82687,7.36,455046,3112481,37.64,5.50
50113,Pace - Suburban Bus Division,MB,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,157538742,24596944,6.40,30030465,191915070,7.80,1.22
50113,Pace - Suburban Bus Division,MB,PT,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,7562283,1594940,4.74,1826175,13886770,8.71,1.14
50113,Pace - Suburban Bus Division,VP,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,3519,5666540,29521989,1361264,21.69,2293201,5518249,4.05,1.68
50117,Laketran,CB,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,227,230514,3337121,142673,23.39,496053,1461732,10.25,3.48
50117,Laketran,DR,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,227,230514,2603432,274177,9.50,505006,10401395,37.94,1.84
50117,Laketran,MB,DO,Independent Public Agency or Authority of Transit Service,25,"Cleveland, OH",772,1780673,227,230514,1709311,291006,5.87,381762,3448046,11.85,1.31
50118,Northeast Illinois Regional Commuter Railroad Corporation,CR,DO,Independent Public Agency or Authority of Transit Service,3,"Chicago, IL-IN",2443,8608208,1940,7261176,1365137921,61456663,22.21,365935097,782173784,12.73,5.95
50119,City of Detroit ,DR,PT,"City, County or Local Government Unit or Department of Transportation",11,"Detroit, MI",1337,3734090,144,713777,3448303,356939,9.66,929147,5595041,15.68,2.60
50119,City of Detroit ,MB,DO,"City, County or Local Government Unit or Department of Transportation",11,"Detroit, MI",1337,3734090,144,713777,103688202,22394860,4.63,18146878,110748470,4.95,0.81
50141,Detroit Transportation Corporation,MG,DO,Independent Public Agency or Authority of Transit Service,11,"Detroit, MI",1337,3734090,3,92477,2395476,1735852,1.38,1044769,19200567,11.06,0.60
50145,City of Kokomo,DR,DO,"City, County or Local Government Unit or Department of Transportation",437,"Kokomo, IN",36,62182,80,57836,399052,104425,3.82,0,1671957,16.01,0.00
50145,City of Kokomo,MB,DO,"City, County or Local Government Unit or Department of Transportation",437,"Kokomo, IN",36,62182,80,57836,1530152,356762,4.29,0,778035,2.18,0.00
50146,Madison County Transit District,DR,PT,Independent Public Agency or Authority of Transit Service,20,"St. Louis, MO-IL",924,2150706,189,232298,698324,55815,12.51,194302,3102236,55.58,3.48
50146,Madison County Transit District,MB,PT,Independent Public Agency or Authority of Transit Service,20,"St. Louis, MO-IL",924,2150706,189,232298,13238424,2012495,6.58,2342949,22296244,11.08,1.16
50146,Madison County Transit District,VP,DO,Independent Public Agency or Authority of Transit Service,20,"St. Louis, MO-IL",924,2150706,189,232298,3812651,98734,38.62,590384,1179386,11.95,5.98
50148,Blue Water Area Transportation Commission,CB,DO,Independent Public Agency or Authority of Transit Service,336,"Port Huron, MI",60,87106,700,159350,429890,15121,28.43,4943,342790,22.67,0.33
50148,Blue Water Area Transportation Commission,DR,DO,Independent Public Agency or Authority of Transit Service,336,"Port Huron, MI",60,87106,700,159350,2465064,321040,7.68,1818112,6687717,20.83,5.66
50148,Blue Water Area Transportation Commission,DR,PT,Independent Public Agency or Authority of Transit Service,336,"Port Huron, MI",60,87106,700,159350,2672448,282838,9.45,1879809,3106352,10.98,6.65
50148,Blue Water Area Transportation Commission,MB,DO,Independent Public Agency or Authority of Transit Service,336,"Port Huron, MI",60,87106,700,159350,2929443,906810,3.23,296462,2968130,3.27,0.33
50149,Michiana Area Council of Governments,DR,PT,"MPO, COG or Other Planning Agency",227,"Elkhart, IN-MI",92,143592,90,142692,228155,40306,5.66,73153,1074370,26.66,1.81
50149,Michiana Area Council of Governments,MB,PT,"MPO, COG or Other Planning Agency",227,"Elkhart, IN-MI",92,143592,90,142692,2297564,441078,5.21,260871,2231745,5.06,0.59
50154,Metropolitan Council,DR,PT,"City, County or Local Government Unit or Department of Transportation",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,2975,2849712,29755037,2573189,11.56,8770453,84642049,32.89,3.41
50154,Metropolitan Council,MB,PT,"City, County or Local Government Unit or Department of Transportation",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,2975,2849712,10764577,2562349,4.20,1024253,18394969,7.18,0.40
50154,Metropolitan Council,VP,PT,"City, County or Local Government Unit or Department of Transportation",16,"Minneapolis-St. Paul, MN-WI",1022,2650890,2975,2849712,3927483,108857,36.08,531008,892387,8.20,4.88
50157,Butler County Regional Transit Authority,CB,DO,Independent Public Agency or Authority of Transit Service,30,"Cincinnati, OH-KY-IN",788,1624827,470,382378,123859,11428,10.84,5954,503615,44.07,0.52
